BrokerIndex,TopicOptionIndex,loop,loop time,classify time,MQTT time,MQTT send time,loop avg. time,MQTT avg. time,MQTT consume rate
0,0,1,3078,0,3069,2967,3078,3069,0.9971
0,0,2,1975,0,1966,1755,2526,2517,0.9964
0,0,3,3243,0,3234,3063,2765,2756,0.9967
0,0,4,558,0,549,328,2213,2204,0.9959
0,0,5,785,0,776,335,1927,1918,0.9953
0,0,6,448,0,439,327,1681,1672,0.9946
0,0,7,1741,0,1732,1390,1689,1680,0.9947
0,0,8,546,0,537,325,1546,1537,0.9942
0,0,9,268,0,259,207,1404,1395,0.9936
0,0,10,1722,0,1713,1461,1436,1427,0.9937
0,0,11,526,0,517,395,1353,1344,0.9934
0,0,12,3223,0,3214,2872,1509,1500,0.994
0,0,13,369,0,360,248,1421,1412,0.9937
0,0,14,1721,0,1712,1340,1443,1434,0.9938
0,0,15,245,0,236,194,1363,1354,0.9934
0,0,16,364,0,355,314,1300,1291,0.9931
0,0,17,394,0,385,243,1247,1238,0.9928
0,0,18,524,0,515,403,1207,1198,0.9925
0,0,19,633,0,624,403,1177,1168,0.9924
0,0,20,577,0,568,286,1147,1138,0.9922
0,0,21,380,0,371,289,1110,1101,0.9919
0,0,22,772,0,763,412,1095,1086,0.9918
0,0,23,329,0,320,248,1061,1052,0.9915
0,0,24,401,0,392,289,1034,1025,0.9913
0,0,25,561,0,552,341,1015,1006,0.9911
0,0,26,576,0,567,355,998,989,0.991
0,0,27,413,0,404,293,976,967,0.9908
0,0,28,543,0,534,392,961,952,0.9906
0,0,29,400,0,391,279,941,932,0.9904
0,0,30,534,0,525,303,928,919,0.9903
0,0,31,373,0,364,173,910,901,0.9901
0,0,32,556,0,547,325,899,890,0.99
0,0,33,409,0,400,309,884,875,0.9898
0,0,34,504,0,495,214,873,864,0.9897
0,0,35,457,0,448,337,861,852,0.9896
0,0,36,529,0,520,279,852,843,0.9894
0,0,37,566,0,557,415,844,835,0.9893
0,0,38,579,0,570,338,837,828,0.9893
0,0,39,520,0,511,409,829,820,0.9891
0,0,40,611,0,602,341,823,814,0.9891
0,0,41,679,0,670,598,820,811,0.989
0,0,42,646,0,637,495,816,807,0.989
0,0,43,688,0,679,587,813,804,0.9889
0,0,44,494,0,485,263,805,796,0.9888
0,0,45,222,0,213,171,792,783,0.9886
0,0,46,531,0,522,340,787,778,0.9886
0,0,47,427,0,418,306,779,770,0.9885
0,0,48,509,0,500,228,773,764,0.9884
0,0,49,1572,0,1563,1351,790,781,0.9886
0,0,50,387,0,378,237,782,773,0.9885
0,0,51,440,0,431,290,775,766,0.9884
0,0,52,711,0,702,370,774,765,0.9884
0,0,53,394,0,385,303,767,758,0.9883
0,0,54,498,0,489,358,762,753,0.9882
0,0,55,599,0,590,498,759,750,0.9881
0,0,56,465,0,456,324,753,744,0.9881
0,0,57,579,0,570,448,750,741,0.988
0,0,58,1780,0,1771,1669,768,759,0.9883
0,0,59,585,0,576,235,765,756,0.9882
0,0,60,474,0,465,364,760,751,0.9882
0,0,61,461,0,452,361,755,746,0.9881
0,0,62,529,0,520,248,751,742,0.988
0,0,63,559,0,550,318,748,739,0.988
0,0,64,615,0,606,304,746,737,0.9879
0,0,65,491,0,482,341,742,733,0.9879
0,0,66,478,0,469,347,738,729,0.9878
0,0,67,1750,0,1741,1549,753,744,0.9881
0,0,68,3216,0,3207,2975,790,781,0.9886
0,0,69,447,0,438,387,785,776,0.9885
0,0,70,362,0,353,242,779,770,0.9884
0,0,71,704,0,695,363,778,769,0.9884
0,0,72,261,0,252,199,770,761,0.9883
0,0,73,688,0,679,427,769,760,0.9883
0,0,74,563,0,554,312,766,757,0.9883
0,0,75,581,0,572,341,764,755,0.9882
0,0,76,401,0,392,300,759,750,0.9882
0,0,77,1767,0,1758,1576,772,763,0.9884
0,0,78,466,0,457,325,768,759,0.9883
0,0,79,541,0,532,380,765,756,0.9883
0,0,80,493,0,484,382,762,753,0.9882
0,0,81,671,0,662,541,761,752,0.9882
0,0,82,414,0,405,253,757,748,0.9881
0,0,83,655,0,646,384,755,746,0.9881
0,0,84,528,0,519,418,753,744,0.9881
0,0,85,610,0,601,299,751,742,0.988
0,0,86,338,0,329,238,746,737,0.9879
0,0,87,625,0,616,264,745,736,0.9879
0,0,88,548,0,539,347,743,734,0.9879
0,0,89,588,0,579,357,741,732,0.9879
0,0,90,443,0,434,323,738,729,0.9878
0,0,91,443,0,434,333,734,725,0.9878
0,0,92,424,0,415,273,731,722,0.9877
0,0,93,498,0,489,348,728,719,0.9877
0,0,94,657,0,648,346,728,719,0.9876
0,0,95,339,0,330,228,724,715,0.9876
0,0,96,585,0,576,264,722,713,0.9875
0,0,97,1823,0,1814,1712,733,724,0.9877
0,0,98,530,0,521,409,731,722,0.9877
0,0,99,403,0,394,252,728,719,0.9876
0,0,100,432,0,423,311,725,716,0.9876
0,1,1,257,223,721,0,257,7,2.8054
0,1,2,267,223,1018,0,262,17,3.3187
0,1,3,257,224,1305,0,260,29,3.8976
0,1,4,287,224,1622,0,267,44,4.3689
0,1,5,259,225,1911,0,265,62,4.9563
0,1,6,291,227,2232,0,269,83,5.4444
0,1,7,266,222,2528,0,269,105,6.0175
0,1,8,256,223,2814,0,267,131,6.6126
0,1,9,297,225,3141,0,270,158,7.0956
0,1,10,280,227,3451,0,271,188,7.6345
0,1,11,260,226,3741,0,270,220,8.2244
0,1,12,257,224,4028,0,269,254,8.8163
0,1,13,256,224,4314,0,268,290,9.4057
0,1,14,268,225,4612,0,268,328,9.9622
0,1,15,267,224,4909,0,268,368,10.521
0,1,16,279,225,5218,0,269,410,11.0513
0,1,17,269,226,5517,0,269,453,11.6077
0,1,18,267,223,5814,0,268,499,12.1686
0,1,19,255,222,6099,0,268,546,12.7566
0,1,20,259,226,6388,0,267,594,13.3326
0,1,21,260,227,6678,0,267,645,13.9047
0,1,22,248,225,6956,0,266,696,14.5031
0,1,23,279,225,7265,0,267,750,15.0272
0,1,24,275,222,7570,0,267,805,15.563
0,1,25,337,225,7937,0,270,862,15.9616
0,1,26,259,226,8226,0,269,920,16.5452
0,1,27,258,224,8514,0,269,980,17.1292
0,1,28,247,223,8791,0,268,1041,17.7358
0,1,29,278,225,9099,0,268,1104,18.2706
0,1,30,256,223,9385,0,268,1167,18.8553
0,1,31,258,225,9673,0,268,1232,19.434
0,1,32,256,223,9960,0,267,1298,20.016
0,1,33,259,225,10249,0,267,1366,20.59
0,1,34,248,224,10527,0,266,1434,21.1875
0,1,35,276,223,10833,0,267,1504,21.7208
0,1,36,258,225,11121,0,266,1574,22.2951
0,1,37,268,225,11419,0,266,1646,22.8465
0,1,38,259,226,11708,0,266,1719,23.4179
0,1,39,249,225,11987,0,266,1793,24.0109
0,1,40,260,227,12277,0,266,1868,24.5779
0,1,41,256,222,12563,0,265,1944,25.1533
0,1,42,286,224,12879,0,266,2021,25.6617
0,1,43,290,226,13199,0,266,2099,26.1634
0,1,44,261,227,13490,0,266,2178,26.7311
0,1,45,269,226,13789,0,266,2258,27.2807
0,1,46,296,223,14115,0,267,2339,27.7718
0,1,47,278,225,14423,0,267,2421,28.3047
0,1,48,268,225,14721,0,267,2504,28.8601
0,1,49,289,225,15040,0,268,2589,29.3702
0,1,50,286,223,15356,0,268,2674,29.8885
0,1,51,296,224,15682,0,268,2760,30.3867
0,1,52,257,223,15969,0,268,2847,30.9707
0,1,53,279,225,16278,0,268,2935,31.5065
0,1,54,279,226,16587,0,269,3023,32.043
0,1,55,267,225,16884,0,269,3113,32.6058
0,1,56,277,224,17191,0,269,3203,33.147
0,1,57,290,227,17511,0,269,3294,33.661
0,1,58,249,226,17790,0,269,3386,34.2635
0,1,59,277,224,18097,0,269,3478,34.8051
0,1,60,277,224,18404,0,269,3572,35.347
0,1,61,259,227,18693,0,269,3665,35.9276
0,1,62,270,227,18993,0,269,3760,36.4841
0,1,63,279,225,19302,0,269,3855,37.0215
0,1,64,256,223,19588,0,269,3951,37.6082
0,1,65,265,223,19883,0,269,4048,38.1749
0,1,66,257,224,20170,0,269,4145,38.7584
0,1,67,258,224,20458,0,268,4243,39.339
0,1,68,259,226,20747,0,268,4341,39.9168
